date;RG001;RG002;RG003;RG004;RG005A;RG008;RG010;RG012;RG014;RG016;RG017;RG018;RG025;RG026;RG027;RG029;RG031;RG034;RG035;RG036;RG037;RG039;RG040;RG041;RG043;RG047;RG049;RG050;RG051A;RG052;RG055;RG057;RG058;RG061;RG062;RG065;RG066;RG067;RG069;RG070;RG071;RG072;RG073;RG075;RG076;RG077;RG078;RG079
18/04/2012 12.00;0;0;0;0;0;0;0;0;0;0;0;0;1.524;0;0.6096;6.858;1.2192;0;0;0;1.0272;0;0;0;0;0;0.6096;0;0;0;0;0;0;0;0;0;1.26;0;1.905;0;0;1.8288;0;0;0;1.284;0;0
18/04/2012 12.05;0;0;0;0;0;0;0;0;0;0;0;0;5.1816;0;1.524;0;1.524;0;0;0;1.284;0;0;0;0;0;1.524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.524;0.9144;0.3048;1.524;1.284;0;0
18/04/2012 12.10;0;0;0;0;0;0;0;0;0;0;0;0;2.1336;0;3.9624;0;0.3048;0;0;0;2.8248;0;0;0;0;0;7.0104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.524;1.524;1.524;1.284;0;0
18/04/2012 12.15;0;0;0;0;0;0;0;0;0;0;0;0;1.524;1.524;2.54;0;0.9144;0;0.9144;0;0;0;0;0;0;0;18.3257;0.9144;0;0;0;0;0;0;0;1.26;0.315;1.26;0;0;0;0;4.1656;1.9812;4.572;0;0.3048;0
18/04/2012 12.20;0;0;0;0;0;0;0;0;0.6096;0;0;0;0.9144;1.524;2.54;0;1.524;0;1.524;0;0;0;0.6096;0;0;0;7.112;1.524;0;0;0;0;0;0;0;1.26;1.575;1.26;0;0;0;0;2.54;5.334;4.572;0;1.524;0
18/04/2012 12.25;0;0;0;0;0;0.2568;0;0;1.524;0;0;0;0;4.572;16.2688;0;1.524;0.3048;2.8956;0;0;0;1.524;0;0;0;2.032;2.8956;0;0;0;0.315;0.756;0.252;1.26;0;4.41;0;0;0;0;0;5.334;0;0;0;1.6002;0
18/04/2012 12.30;0;0;0;0;0;1.284;0;0;1.524;0;0;1.2192;0;4.572;7.62;0;1.524;1.524;0.762;0;0;0;2.4384;0;0;0;0;0.762;0;0;0;1.575;1.26;1.26;1.26;0;13.86;0;0.6096;0;0;0.6096;0.762;0;1.2192;1.0272;1.905;0
18/04/2012 12.35;0;0;0;0;0;1.6692;0;0;1.524;0;0;1.524;0;6.858;1.524;0;4.4196;1.524;0.9144;0;0;0;3.81;0;0;0;0;0;0;0;0;5.67;2.394;1.323;3.78;1.26;11.34;0;1.524;0;0;1.524;0;0;1.524;1.284;5.334;0
18/04/2012 12.40;0;0;0.5136;0;0;3.21;0.6096;0;2.4384;0;1.2192;3.3528;0;2.286;0;0;2.286;1.524;1.524;0;0;0;2.794;0;0.6096;1.008;0;0;0;0;0.504;5.544;5.67;1.575;1.26;1.26;7.56;0;0.9144;0;0;3.9624;0;0;0.9144;2.8248;1.524;0
18/04/2012 12.45;0;0;1.284;0;0;7.704;1.524;0;2.667;0.3048;1.524;4.572;0;0;0;0.9144;2.54;1.6002;6.7056;0;0;0;1.9304;0;1.524;1.26;0;0.3048;0;0;0;1.26;2.1;2.52;0;21.5063;3.15;0;0;0;0;7.62;0;0.9144;1.524;6.42;1.524;0
18/04/2012 12.50;0;0;1.6264;0;0;2.996;13.1064;0;1.905;1.524;3.3528;7.62;0;0;0;1.524;9.652;1.905;18.3257;0;0;0;1.524;0;0.9144;5.292;0;1.524;0;0;1.008;1.386;2.94;3.15;1.008;16.3941;0.63;0.504;0;1.2192;0;1.524;0.6096;1.524;1.9304;1.926;1.524;0
18/04/2012 12.55;0;0;2.033;0.7704;0.3048;2.782;10.668;0;4.572;1.9812;9.906;3.429;0;1.524;0;0.6096;6.604;1.905;3.048;0;0;0;0.6096;0;0;4.41;0;2.7432;0;0;0.504;1.575;1.575;2.94;1.26;4.41;0;1.26;0;1.524;0;0;1.524;0.6096;2.032;1.605;4.572;0
18/04/2012 13.00;0;0;1.605;1.284;1.524;4.494;4.572;0;1.524;3.81;2.286;1.905;0.6096;1.524;0;0;2.54;1.905;0;0;0;0;0;0;0;2.31;0;1.524;1.284;0;0;1.575;0.945;2.1;0.252;23.4317;0.504;3.276;0;0.3048;0;0;1.9304;0;1.2192;8.025;2.54;0
18/04/2012 13.05;0;0;1.605;4.3656;1.9812;1.284;2.54;0;0;6.096;0;1.143;1.524;2.54;0;0;4.572;0.9144;1.524;1.524;0;0;0;0;0;1.785;0;0.9144;2.568;0;0.252;1.26;0;0.756;0;13.86;1.26;5.67;0;0;0;0;3.556;1.524;1.524;12.84;2.794;0
18/04/2012 13.10;0;0;1.605;6.42;3.81;0;0.508;0;0.6096;3.556;1.2192;1.905;0.9144;6.604;0;0;10.668;1.524;1.524;1.524;0;0;1.2192;0;0;1.575;0;1.524;3.852;0;0.252;0;0;1.26;0;7.56;0.756;1.89;0;0;0;0;10.668;1.524;2.3368;10.272;3.302;0
18/04/2012 13.15;0;0.3048;1.605;4.494;3.81;1.284;0.3048;0;1.524;2.54;1.524;5.334;0;6.477;0;0;6.858;2.8956;3.81;0;0.2568;0;1.524;0;0;5.67;0;2.1336;6.42;0;0;0;1.575;5.544;0;3.15;0;0;1.524;0;0;0;0;0;11.684;5.778;3.556;0
18/04/2012 13.20;0;1.524;1.819;5.778;3.81;1.284;1.524;0;1.9304;2.286;2.3368;13.716;0;1.905;0;0;3.81;3.81;2.8956;0;1.284;0;6.4008;0;0;1.89;0;1.524;1.284;0;0;0;3.465;15.1211;0;0.63;0;0;1.524;0;0;0;0;0;26.0858;9.63;7.62;0
18/04/2012 13.25;0;1.2192;2.996;3.852;5.334;18.0095;2.7432;0.756;3.556;1.905;5.588;7.62;0;2.286;0;0;3.81;15.2423;1.524;0;1.0272;0;10.668;1.26;0;0.945;0;0;1.284;0;0.252;0;20.8655;12.6;0;0;0;0;5.334;0;0;0;0;0.3048;13.716;19.3114;6.096;0
18/04/2012 13.30;0;0;14.124;6.42;3.81;4.28;6.096;1.26;7.62;3.429;3.048;4.572;0;1.524;0;0;3.81;6.096;0.9144;0;0;0;4.572;1.26;0;1.575;0;0;1.284;0;0.252;0;4.41;12.6;0;0;0;0;3.81;0;0;0;0;1.524;16.7825;8.988;1.2192;0
18/04/2012 13.35;0;0.3048;5.778;6.42;3.81;0.856;6.096;2.394;4.572;7.62;3.048;3.81;0;0;0;0;0;1.524;0;0;0;0;4.572;2.94;0;6.3;0;0;2.14;0;0;0;3.465;3.78;0;0;0;0;0;0;0;0;0;2.7432;3.9624;2.889;1.524;0
18/04/2012 13.40;0;1.524;4.494;14.124;3.81;0;4.572;1.89;16.7825;10.668;2.7432;5.334;0;0.6096;0;0;0;1.524;0;0;0;0;2.286;2.1;0;3.78;0;0;1.712;0;0;0;1.575;6.3;0;0;0;0;0;0;0;0;0;1.524;1.524;1.605;0.3048;0
18/04/2012 13.45;1.284;1.9812;3.21;8.988;7.62;0;18.3257;1.68;30.7778;7.62;1.524;12.192;0;1.524;0;1.524;0;0;0;0;0;0;1.905;6.3;0;3.15;0;0;2.568;0;0;0;0;5.67;0;1.26;0;0;0;0;0;0;0;0.9144;0.6096;0.963;0;0
18/04/2012 13.50;1.284;5.334;1.926;6.42;9.144;0.5136;9.144;2.1;21.4208;6.096;1.524;6.096;0;0.9144;0;1.524;0;0;0;0;0;0.642;0.381;3.78;0;1.89;0;0;3.852;0;0;0;0;1.89;0;1.26;0;0;0;0;0;0;0;1.524;0;1.605;0;0
18/04/2012 13.55;2.14;10.668;1.284;2.14;6.858;1.284;2.54;2.835;7.62;6.096;1.524;5.334;0;0;0;0;0;0;0;0;0;1.605;0;3.15;0;1.26;0;0;6.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6096;0;7.062;0.3048;0
18/04/2012 14.00;8.132;13.716;1.284;4.28;3.81;0.7704;1.7272;1.575;4.572;7.62;2.3368;3.81;0;0;0;0;1.2192;0;0;0;0;0.8346;0.6096;2.73;0;1.26;0;0;2.996;0;0;0;0.504;0;0;0;0;0;0;0;0;0;0;0;0;7.276;1.524;0
18/04/2012 14.05;7.704;6.858;0;3.21;3.81;0;1.524;0.882;0.9144;10.668;2.54;4.572;0;0;0;0;1.524;0;0;0;0;1.284;1.524;2.94;0;0;0;0;4.066;0;0;0;1.26;0;0;0;0;1.26;0;0;0;0;0.3048;0;0;1.712;1.2192;0
18/04/2012 14.10;10.272;3.302;0;1.1556;2.794;0;0.3048;1.26;1.524;10.668;2.1336;4.572;0;0.6096;0;0;2.3368;0;0;0;0;2.0544;0.9144;2.94;0;0;0;0;3.21;0;0;0;0.756;0;0;0;0;1.26;0;0;0;0;1.524;0;0;0;0;0
18/04/2012 14.15;6.42;2.032;0;1.284;1.016;0;0;1.638;0.6096;4.572;1.524;4.572;0;1.524;0;0;3.302;0;0;0;0;2.568;0.9144;2.73;0;0;0;0;2.247;0;0;0;0;0;0;0;0;2.1;0;0;0;0;1.9812;0;0;0.7704;0;0
18/04/2012 14.20;2.568;0;0;0.7704;0;0;0.6096;4.41;0;7.62;3.9624;3.556;0;0.9144;0;0;1.9812;0;0;0;0;3.852;1.524;3.15;0;0;0;0;1.605;0;0;0;0;0;0;0;0;1.68;0;0;0;0;5.334;0;0;1.284;0;0
18/04/2012 14.25;1.926;1.524;0;0;0;0;1.524;8.19;1.524;3.556;6.858;5.588;0;0;0;0;1.524;0;0;0;0;6.42;0.9144;4.41;0;0;0;0;0.2568;0;0;0;0;1.26;0;0.756;0;1.26;0;0;0;0;7.62;0;0;0.5136;0;0
18/04/2012 14.30;2.782;1.524;0;0;0;0;0.9144;3.15;1.524;2.54;5.334;7.62;0;0;0;0;0.3048;0;0;0;0;6.42;1.524;5.67;0;0;0;0;1.284;0;0;0;0;1.26;0;1.26;0;0;0;0;0;0;3.556;0;0;0;0;0
18/04/2012 14.35;2.354;1.524;0;0;0;0;0;3.15;0;0;6.858;5.334;0;1.524;0;0;0;0;1.524;0;0;5.778;1.7272;4.41;0;0;0;0;1.3482;0;0;1.26;0;0;0;2.394;0;0;0;0;0;0;1.016;0;0;0;3.81;0
18/04/2012 14.40;3.21;1.524;0;0;0;0;0;5.67;0;0;5.334;0.762;0;1.524;0;0;0;0;1.524;0;0;3.21;2.54;3.15;0;0;0;0;1.605;0;0;1.26;0;0;0;0.63;0;0;0;0;0;0;0;0;0;0;3.048;0
18/04/2012 14.45;3.21;0;0;0;0;0;0;3.78;0;0;4.191;0;0;5.334;0;0;0;0;2.54;0;0;3.21;3.81;2.94;0;0;0;0;0.642;0;0;2.52;0;0;0;0.756;0;1.26;0;0;0;0;0;0;0;0;1.905;0
18/04/2012 14.50;2.354;0;0;0;0;0;0;5.04;0;0.6096;1.905;0;0;3.81;0;0;0;0;0.508;0;0;3.21;3.81;2.1;0;0;0;0;1.0272;0;0;0;0;0;0.504;1.26;0;1.26;0;0;0;0;0;0;0;0;0.381;0
18/04/2012 14.55;1.6264;0;0;0;0;0;0;2.52;0;1.524;0;0;0;3.81;0;0;0;0;0;0;0;2.14;5.08;2.1;0;0;0;0;1.284;0;0;0.756;0;0;1.26;2.394;1.26;0;0;0;0;0;0;0;0;0;0;0
